estimator,min_score,mean_score,max_score,std_score,C,criterion,n_estimators,activation,hidden_layer_sizes
SupportVectorMachine,0.6377151799687011,0.6573819581545657,0.6914643696162882,0.01859782407031547,0.1,,,,
MultilayerPerceptron,0.6377151799687011,0.6573819581545657,0.6914643696162882,0.01859782407031547,,,,relu,"(17, 8, 17)"
DecisionTree,0.6377151799687011,0.6573037108932198,0.6914643696162882,0.018622775268840406,,gini,,,
DecisionTree,0.6377151799687011,0.6573037108932198,0.6914643696162882,0.018622775268840406,,entropy,,,
RandomForest,0.6377151799687011,0.6573037108932198,0.6914643696162882,0.018622775268840406,,,10,,
RandomForest,0.6377151799687011,0.6573037108932198,0.6914643696162882,0.018622775268840406,,,100,,
SupportVectorMachine,0.6377151799687011,0.6573037108932198,0.6914643696162882,0.018622775268840406,100,,,,
MultilayerPerceptron,0.634585289514867,0.6560512645174098,0.6885758998435054,0.017860814537279283,,,,tanh,"(17, 8, 17)"
LinearDiscriminantAnalysis,0.634585289514867,0.655582271143611,0.6914643696162882,0.01918487842157578,,,,,
LogisticRegression,0.634585289514867,0.6555039013336961,0.6898981989036805,0.01885600329237557,1.0,,,,
